metric_name,iteration,difficulty,duration_ns
TransactionValidation,176,2,112.934µs
TransactionValidation,177,2,120.617µs
TransactionValidation,178,2,143.035µs
TransactionValidation,179,2,323.715µs
TransactionValidation,180,2,154.489µs
TransactionValidation,181,2,139.823µs
TransactionValidation,182,2,139.264µs
TransactionValidation,183,2,147.226µs
TransactionValidation,184,2,138.146µs
TransactionValidation,185,2,152.184µs
TransactionValidation,186,2,159.308µs
TransactionValidation,187,2,147.156µs
TransactionValidation,188,2,143.454µs
TransactionValidation,189,2,138.076µs
TransactionValidation,190,2,139.055µs
TransactionValidation,191,2,141.149µs
TransactionValidation,192,2,142.756µs
TransactionValidation,193,2,153.023µs
TransactionValidation,194,2,156.306µs
TransactionValidation,195,2,141.01µs
TransactionValidation,196,2,141.429µs
TransactionValidation,197,2,141.29µs
TransactionValidation,198,2,145.62µs
TransactionValidation,199,2,145.899µs
TransactionValidation,200,2,168.877µs
TransactionValidation,201,2,132.769µs
TransactionValidation,202,2,124.178µs
TransactionValidation,203,2,152.045µs
TransactionValidation,204,2,148.553µs
TransactionValidation,205,2,130.255µs
TransactionValidation,206,2,121.664µs
TransactionValidation,207,2,112.864µs
TransactionValidation,208,2,110.769µs
TransactionValidation,209,2,108.324µs
TransactionValidation,210,2,109.372µs
TransactionValidation,211,2,105.95µs
TransactionValidation,212,2,108.324µs
TransactionValidation,213,2,144.153µs
TransactionValidation,214,2,95.893µs
TransactionValidation,215,2,101.899µs
TransactionValidation,216,2,96.59µs
TransactionValidation,217,2,95.893µs
TransactionValidation,218,2,123.061µs
TransactionValidation,219,2,104.134µs
TransactionValidation,220,2,99.734µs
TransactionValidation,221,2,125.994µs
TransactionValidation,222,2,113.911µs
TransactionValidation,223,2,95.333µs
TransactionValidation,224,2,94.845µs
TransactionValidation,225,2,97.289µs
TransactionValidation,226,2,93.727µs
TransactionValidation,227,2,97.708µs
TransactionValidation,228,2,107.067µs
TransactionValidation,229,2,115.379µs
TransactionValidation,230,2,94.915µs
TransactionValidation,231,2,93.029µs
TransactionValidation,232,2,96.381µs
TransactionValidation,233,2,107.486µs
TransactionValidation,234,2,116.775µs
TransactionValidation,235,2,139.893µs
TransactionValidation,236,2,98.826µs
TransactionValidation,237,2,94.496µs
TransactionValidation,238,2,98.058µs
TransactionValidation,239,2,93.518µs
TransactionValidation,240,2,92.47µs
TransactionValidation,241,2,96.871µs
TransactionValidation,242,2,93.518µs
TransactionValidation,243,2,94.914µs
TransactionValidation,244,2,92.051µs
TransactionValidation,245,2,96.381µs
TransactionValidation,246,2,93.448µs
TransactionValidation,247,2,92.4µs
TransactionValidation,248,2,137.937µs
TransactionValidation,249,2,94.426µs
TransactionValidation,250,2,99.175µs
TransactionValidation,251,2,92.54µs
TransactionValidation,252,2,93.937µs
TransactionValidation,253,2,94.845µs
TransactionValidation,254,2,99.035µs
TransactionValidation,255,2,112.934µs
TransactionValidation,256,2,94.985µs
TransactionValidation,257,2,93.518µs
TransactionValidation,258,2,96.381µs
TransactionValidation,259,2,101.2µs
TransactionValidation,260,2,93.448µs
TransactionValidation,261,2,92.54µs
TransactionValidation,262,2,93.029µs
TransactionValidation,263,2,94.286µs
TransactionValidation,264,2,116.845µs
TransactionValidation,265,2,103.574µs
TransactionValidation,266,2,93.378µs
TransactionValidation,267,2,91.981µs
TransactionValidation,268,2,96.382µs
TransactionValidation,269,2,92.68µs
TransactionValidation,270,2,92.33µs
TransactionValidation,271,2,94.775µs
TransactionValidation,272,2,92.261µs
TransactionValidation,273,2,92.889µs
TransactionValidation,274,2,124.528µs
TransactionValidation,275,2,102.178µs
TransactionValidation,276,2,99.035µs
TransactionValidation,277,2,94.216µs
TransactionValidation,278,2,93.448µs
TransactionValidation,279,2,95.682µs
TransactionValidation,280,2,114.959µs
TransactionValidation,281,2,97.778µs
TransactionValidation,282,2,91.562µs
TransactionValidation,283,2,94.706µs
TransactionValidation,284,2,93.867µs
TransactionValidation,285,2,118.381µs
TransactionValidation,286,2,92.051µs
TransactionValidation,287,2,102.178µs
TransactionValidation,288,2,95.403µs
TransactionValidation,289,2,117.334µs
TransactionValidation,290,2,139.613µs
TransactionValidation,291,2,97.08µs
TransactionValidation,292,2,107.835µs
TransactionValidation,293,2,93.867µs
TransactionValidation,294,2,103.925µs
TransactionValidation,295,2,111.048µs
TransactionValidation,296,2,92.749µs
TransactionValidation,297,2,94.426µs
TransactionValidation,298,2,97.569µs
TransactionValidation,299,2,108.533µs
TransactionValidation,300,2,93.937µs
TransactionValidation,301,2,93.517µs
TransactionValidation,302,2,101.479µs
TransactionValidation,303,2,99.245µs
TransactionValidation,304,2,97.289µs
TransactionValidation,305,2,94.845µs
TransactionValidation,306,2,93.728µs
TransactionValidation,307,2,92.331µs
TransactionValidation,308,2,96.87µs
TransactionValidation,309,2,97.708µs
TransactionValidation,310,2,104.762µs
TransactionValidation,311,2,114.4µs
TransactionValidation,312,2,95.822µs
TransactionValidation,313,2,93.169µs
TransactionValidation,314,2,93.238µs
TransactionValidation,315,2,93.448µs
TransactionValidation,316,2,120.197µs
TransactionValidation,317,2,99.803µs
TransactionValidation,318,2,92.959µs
TransactionValidation,319,2,94.775µs
TransactionValidation,320,2,100.222µs
TransactionValidation,321,2,103.575µs
TransactionValidation,322,2,111.257µs
TransactionValidation,323,2,95.892µs
TransactionValidation,324,2,93.239µs
TransactionValidation,325,2,93.239µs
TransactionValidation,326,2,93.029µs
TransactionValidation,327,2,94.915µs
TransactionValidation,328,2,95.543µs
TransactionValidation,329,2,109.162µs
TransactionValidation,330,2,94.985µs
TransactionValidation,331,2,94.007µs
TransactionValidation,332,2,149.181µs
TransactionValidation,333,2,125.644µs
TransactionValidation,334,2,96.801µs
TransactionValidation,335,2,100.083µs
TransactionValidation,336,2,97.22µs
TransactionValidation,337,2,95.682µs
TransactionValidation,338,2,92.889µs
