timestamp,round,sync_time_ms
2025-10-11T10:57:25.765299,1,6.22
2025-10-11T10:57:25.781018,2,3.88
2025-10-11T10:57:25.807950,3,4.68
2025-10-11T10:57:25.817368,4,2.75
2025-10-11T10:57:25.830349,5,3.07
